Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
3.5,9121.0,0.0,1.0,5421981.0,510.0,0,0,4,0.0,0.0,0.0,1.0,0
4.5,17056.0,0.99,1.0,55803904.0,1981.0,0,0,4,0.0,0.0,1.0,0.0,1
2.5,17045.0,0.0,1.0,7543757.0,53.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,42210.0,0.0,1.0,16556848.0,710.0,0,0,4,1.0,0.0,0.0,0.0,0
2.5,1156.0,0.0,1.0,6122222.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
2.5,20234.0,0.0,1.0,4528173.0,7.0,0,0,12,0.0,0.0,0.0,0.0,0
3.5,7.0,0.99,1.0,3824640.0,2772.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,125.0,2.99,1.0,98282496.0,3204.0,0,0,4,0.0,0.0,0.0,0.0,0
2.5,359.0,5.99,1.0,33982464.0,3584.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,6.0,0.99,1.0,3134464.0,2762.0,0,0,4,0.0,0.0,0.0,0.0,0
4.0,101209.0,0.0,1.0,58343424.0,1960.0,0,0,4,0.0,0.0,1.0,0.0,1
3.0,4885.0,3.99,1.0,59016192.0,3744.0,0,0,9,0.0,0.0,0.0,1.0,1
2.0,84.0,2.99,1.0,6466560.0,3514.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,13.0,2.99,1.0,4922368.0,3514.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,27.0,2.99,2.0,20957184.0,3426.0,0,0,17,0.0,0.0,0.0,1.0,0
3.5,29495.0,0.0,5.0,39453539.0,703.0,0,0,9,1.0,0.0,0.0,0.0,0
2.5,5462.0,0.0,1.0,14125056.0,3137.0,0,1,9,0.0,0.0,0.0,0.0,1
3.5,19.0,0.0,1.0,4472832.0,1943.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,860.0,0.0,1.0,84364288.0,2553.0,0,0,9,0.0,0.0,1.0,0.0,1
4.5,35199.0,2.99,5.0,500501504.0,3078.0,0,0,4,0.0,0.0,1.0,0.0,0
3.0,5013.0,0.0,1.0,54787072.0,2553.0,0,0,9,0.0,0.0,1.0,0.0,0
3.5,1119.0,2.99,1.0,8881152.0,3064.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,2606.0,4.99,1.0,107105280.0,3185.0,0,0,9,0.0,0.0,0.0,1.0,0
4.5,863.0,3.99,2.0,33033216.0,2760.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,1926.0,0.0,1.0,108253184.0,3177.0,0,0,4,0.0,0.0,0.0,0.0,0
2.5,1848.0,0.0,2.0,1326164.0,634.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,24821.0,0.0,1.0,14717952.0,3064.0,0,1,4,1.0,0.0,0.0,0.0,0
3.5,2503.0,0.0,1.0,2582857.0,478.0,0,0,4,0.0,0.0,0.0,1.0,0
4.0,16693.0,0.99,1.0,5500291.0,1029.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,191081.0,0.0,1.0,65303552.0,3357.0,0,0,4,0.0,0.0,0.0,1.0,0
4.0,2767.0,1.99,1.0,30746624.0,3080.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,14073.0,0.0,13.0,115074048.0,3753.0,0,1,9,0.0,0.0,0.0,0.0,1
4.5,5543.0,4.99,1.0,39997440.0,2695.0,0,0,9,0.0,0.0,0.0,0.0,1
3.0,12659.0,0.99,1.0,10308608.0,3004.0,0,0,4,0.0,0.0,1.0,0.0,0
4.0,90386.0,0.0,1.0,43073536.0,2695.0,0,0,9,0.0,0.0,0.0,0.0,1
3.0,40.0,0.0,1.0,2004992.0,3089.0,0,0,4,0.0,0.0,0.0,1.0,0
2.0,353.0,0.0,1.0,2818386.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
2.5,47.0,0.0,1.0,6994639.0,66.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,866.0,0.0,2.0,10136576.0,2458.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,3416.0,0.0,1.0,8646161.0,1294.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,67670.0,0.99,1.0,7703552.0,2973.0,0,0,4,0.0,0.0,1.0,0.0,0
2.5,634.0,0.0,11.0,3396500.0,736.0,0,0,4,0.0,1.0,0.0,0.0,1
3.0,282.0,2.99,1.0,4225024.0,3120.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,93235.0,0.99,1.0,259371008.0,3134.0,0,0,4,1.0,0.0,0.0,0.0,1
4.0,569.0,2.99,9.0,23805952.0,3285.0,0,1,4,0.0,0.0,0.0,1.0,0
3.5,127.0,2.99,3.0,3684352.0,3082.0,0,0,4,0.0,0.0,0.0,0.0,0
4.0,193923.0,0.0,5.0,233482240.0,3028.0,0,0,4,0.0,0.0,1.0,0.0,0
4.0,42389.0,2.99,2.0,56048640.0,3207.0,0,0,9,1.0,0.0,0.0,0.0,1
3.5,207.0,3.99,1.0,23740416.0,2340.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,16554.0,0.0,1.0,6338617.0,1029.0,0,0,4,1.0,0.0,0.0,0.0,1
3.0,6906.0,0.0,1.0,12120793.0,1154.0,0,0,12,0.0,1.0,0.0,0.0,0
3.0,9.0,1.99,2.0,20501504.0,2696.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,2110.0,0.0,1.0,76698624.0,2559.0,0,0,4,0.0,0.0,0.0,1.0,1
3.5,267.0,3.99,1.0,39074816.0,3405.0,0,0,12,0.0,0.0,0.0,1.0,0
2.0,704.0,0.0,1.0,413902.0,0.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,23854.0,0.99,1.0,44707840.0,2873.0,0,0,12,0.0,0.0,0.0,0.0,0
3.0,847.0,0.99,1.0,995328.0,2937.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,233.0,0.0,1.0,761856.0,2847.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,5.0,0.99,1.0,2137088.0,3557.0,0,0,4,1.0,0.0,0.0,0.0,0
4.5,14864.0,0.0,1.0,47129600.0,3660.0,0,0,4,0.0,0.0,0.0,1.0,1
2.5,43.0,0.0,1.0,41591808.0,3294.0,0,0,4,1.0,0.0,0.0,0.0,0
1.5,8.0,1.99,1.0,82583552.0,2638.0,0,0,4,0.0,0.0,0.0,1.0,0
2.5,3593.0,0.0,3.0,7750656.0,3142.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,344.0,0.0,1.0,4578541.0,0.0,0,0,4,0.0,0.0,0.0,1.0,0
4.5,36581.0,0.0,1.0,69393408.0,3632.0,0,1,4,0.0,0.0,0.0,1.0,0
4.5,36581.0,0.0,1.0,69393408.0,3632.0,0,1,4,0.0,0.0,0.0,1.0,0
3.0,302.0,0.0,1.0,85569536.0,1736.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,5778.0,1.99,1.0,253834240.0,2707.0,0,0,12,0.0,0.0,1.0,0.0,1
4.5,27739.0,0.0,20.0,104436736.0,1293.0,0,0,9,0.0,0.0,0.0,0.0,1
