ID,Average User Rating,User Rating Count,Price,Developer,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
1329990415,3.5,22.0,0.0,1,1.0,27499520.0,61.0,0,0,4,0.0,0.0,0.0,0.0,0
327708154,4.0,213.0,9.99,2,2.0,22864896.0,3287.0,0,1,4,0.0,0.0,0.0,1.0,0
652386502,3.5,19.0,0.0,115,1.0,48435200.0,692.0,0,0,4,0.0,0.0,0.0,0.0,1
720825227,5.0,12416.0,0.99,9,16.0,70558720.0,1420.0,0,0,17,0.0,0.0,0.0,0.0,0
1040605473,4.5,11.0,0.0,2,4.0,31948800.0,59.0,1,0,12,0.0,0.0,0.0,0.0,1
563017514,4.0,149.0,0.0,1,1.0,97434370.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
328034857,3.5,5378.0,0.0,15,1.0,15120306.0,1208.0,0,0,12,0.0,0.0,1.0,0.0,1
1454515001,4.5,11.0,0.0,2,1.0,149273600.0,54.0,0,0,12,0.0,1.0,0.0,0.0,0
760266492,4.5,6.0,4.99,5,9.0,364563456.0,770.0,0,0,4,0.0,0.0,0.0,0.0,0
1131344092,4.0,125.0,0.0,3,1.0,48880640.0,22.0,0,0,4,0.0,0.0,1.0,0.0,0
542836456,4.0,18.0,0.0,1,1.0,111200379.0,79.0,0,0,4,0.0,0.0,0.0,0.0,0
1226406572,4.0,39.0,0.0,1,1.0,131231744.0,0.0,0,0,9,0.0,1.0,0.0,0.0,0
537978514,4.5,16.0,0.0,2,8.0,97354327.0,0.0,0,0,12,0.0,0.0,1.0,0.0,0
1291943816,4.0,10.0,0.0,7,1.0,98030592.0,433.0,0,0,4,0.0,1.0,0.0,0.0,1
1251299855,4.5,65.0,0.0,1,1.0,144876544.0,489.0,0,1,12,0.0,1.0,0.0,0.0,1
1290042607,4.0,11.0,0.0,1,3.0,58326016.0,0.0,0,1,4,1.0,0.0,0.0,0.0,0
867266659,4.5,438.0,4.99,1,1.0,226167808.0,278.0,0,0,17,0.0,0.0,1.0,0.0,1
645437559,4.0,28.0,0.0,1,1.0,38686720.0,93.0,0,0,4,0.0,0.0,0.0,1.0,0
615102010,3.5,5.0,0.0,2,1.0,6036814.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
474826688,4.5,23527.0,0.0,17,4.0,277447052.0,295.0,0,0,12,0.0,0.0,1.0,0.0,1
966051929,4.5,35.0,0.0,1,1.0,4259840.0,14.0,0,0,4,0.0,0.0,0.0,0.0,1
1424822201,4.5,14.0,0.0,1,1.0,135890944.0,111.0,0,0,4,1.0,0.0,0.0,0.0,1
1236091612,5.0,5.0,0.0,21,1.0,170974208.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
430907397,4.0,51485.0,0.0,4,1.0,131874816.0,2736.0,0,0,17,0.0,0.0,0.0,0.0,1
884872823,4.5,41.0,0.0,6,1.0,29405184.0,431.0,0,0,4,1.0,0.0,0.0,0.0,0
1447875787,3.5,7.0,0.0,6,1.0,124998656.0,0.0,0,0,4,0.0,1.0,0.0,0.0,0
594414791,5.0,5.0,0.0,2,1.0,13836288.0,435.0,0,0,4,0.0,0.0,0.0,1.0,1
824327351,4.5,1769.0,0.0,2,2.0,248382464.0,1424.0,0,0,12,0.0,0.0,0.0,0.0,1
949244050,5.0,5.0,0.0,2,1.0,1056768.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
618965614,2.0,8.0,2.99,5,1.0,92165120.0,1273.0,0,0,12,0.0,0.0,0.0,0.0,0
1231343524,3.0,128.0,0.0,5,12.0,108628992.0,175.0,0,0,12,0.0,1.0,0.0,0.0,1
1085131523,4.5,2234.0,0.0,1,1.0,269811712.0,614.0,1,0,9,1.0,0.0,0.0,0.0,1
1392850214,4.5,1904.0,0.0,2,25.0,65085440.0,104.0,0,1,4,1.0,0.0,0.0,0.0,1
1084986750,4.5,8.0,0.0,1,1.0,105940992.0,240.0,0,0,9,0.0,0.0,1.0,0.0,1
813747499,4.5,17.0,0.99,2,1.0,90389504.0,1802.0,0,0,12,0.0,0.0,1.0,0.0,0
478595120,3.5,7.0,0.99,1,2.0,9850880.0,1031.0,0,0,4,0.0,0.0,0.0,1.0,0
431992865,4.0,15.0,0.0,1,1.0,2211840.0,1246.0,0,0,4,0.0,0.0,0.0,0.0,0
1101964569,4.0,81.0,0.0,8,1.0,212927488.0,371.0,1,0,9,0.0,0.0,1.0,0.0,1
673126066,2.0,6.0,0.0,2,1.0,108429312.0,1437.0,0,0,4,0.0,0.0,0.0,0.0,1
1037600612,5.0,19.0,0.0,3,16.0,56044544.0,373.0,0,0,4,1.0,0.0,0.0,0.0,1
543688880,4.5,1344.0,0.0,15,1.0,12478972.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
979011330,4.5,12.0,0.0,1,1.0,11337728.0,46.0,0,0,4,1.0,0.0,0.0,0.0,0
871699655,4.0,14.0,0.0,15,1.0,14094336.0,138.0,0,0,4,0.0,0.0,0.0,1.0,0
1102915565,3.0,16.0,0.0,1,1.0,92057600.0,5.0,0,0,4,0.0,1.0,0.0,0.0,1
493500432,3.5,75.0,0.0,1,13.0,12023587.0,202.0,0,0,4,0.0,0.0,0.0,0.0,1
569874083,4.0,113.0,0.0,115,1.0,58396672.0,1096.0,0,0,12,0.0,0.0,0.0,0.0,1
807953202,5.0,7.0,0.0,1,1.0,23158784.0,0.0,0,0,4,1.0,0.0,0.0,0.0,1
613158918,4.5,8.0,0.0,1,2.0,16821248.0,1210.0,0,0,4,0.0,0.0,0.0,1.0,1
1080913331,4.5,23.0,0.0,1,5.0,55757824.0,1006.0,0,0,9,0.0,0.0,0.0,0.0,1
631277888,3.0,133.0,0.0,8,1.0,244915200.0,1214.0,0,0,4,0.0,1.0,0.0,0.0,1
924788775,4.5,8.0,0.0,4,1.0,77360128.0,1672.0,0,0,17,0.0,0.0,0.0,0.0,1
413936788,4.0,1017.0,0.0,1,1.0,7913472.0,1126.0,0,0,4,1.0,0.0,0.0,0.0,0
1079643724,4.5,1542.0,0.0,5,1.0,53391360.0,624.0,0,0,4,0.0,0.0,0.0,1.0,1
1275887006,5.0,6.0,0.0,1,1.0,17691648.0,7.0,0,0,4,0.0,0.0,0.0,0.0,0
1300634274,4.5,272.0,1.99,1,1.0,20567040.0,32.0,0,0,4,0.0,1.0,0.0,0.0,0
1180911852,2.0,14.0,0.0,1,1.0,175015936.0,166.0,0,0,9,0.0,0.0,1.0,0.0,1
1330459626,4.5,10.0,0.0,1,25.0,25974784.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
1140256101,4.0,13.0,1.99,1,1.0,82865152.0,75.0,0,0,9,0.0,1.0,0.0,0.0,0
1470334402,5.0,10.0,0.0,1,1.0,60707840.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
1340635159,5.0,9586.0,0.0,4,13.0,197530624.0,146.0,0,0,12,0.0,0.0,0.0,0.0,1
1204981434,4.0,13.0,2.99,1,1.0,80846848.0,601.0,0,0,4,0.0,0.0,0.0,1.0,0
658111490,4.0,137.0,0.0,5,3.0,223711232.0,1843.0,0,0,9,0.0,1.0,0.0,0.0,1
630152302,3.5,74.0,0.0,5,1.0,5824512.0,69.0,0,0,4,0.0,0.0,0.0,0.0,0
485650410,4.5,1919.0,0.0,1,3.0,159378526.0,246.0,0,0,12,0.0,0.0,0.0,1.0,1
1249619641,4.0,126.0,0.0,1,2.0,91809792.0,19.0,0,0,4,0.0,0.0,1.0,0.0,0
1069719349,4.0,186.0,0.0,2,25.0,78835712.0,1134.0,0,0,12,0.0,0.0,0.0,0.0,1
889551018,4.0,7.0,0.0,2,2.0,5591040.0,12.0,0,0,4,0.0,0.0,0.0,1.0,0
1370346970,4.5,17782.0,0.0,3,3.0,176524288.0,353.0,0,0,12,0.0,0.0,0.0,0.0,1
1321283976,4.0,598.0,0.0,4,11.0,1837178880.0,483.0,0,0,12,0.0,0.0,0.0,0.0,1
904874944,4.0,820.0,0.0,5,3.0,75834368.0,461.0,0,0,4,0.0,0.0,0.0,0.0,1
1140968209,2.5,6.0,0.0,1,3.0,34077696.0,944.0,0,0,4,0.0,1.0,0.0,0.0,1
1112388009,4.0,258.0,0.0,2,1.0,34129920.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
690447804,3.5,25.0,0.0,10,1.0,57520128.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
1102520702,4.5,80.0,0.0,18,1.0,37220352.0,0.0,0,0,17,0.0,1.0,0.0,0.0,1
1163392681,5.0,8.0,0.0,1,1.0,74819584.0,0.0,0,0,9,0.0,0.0,0.0,0.0,0
1233961624,4.5,14.0,0.0,4,2.0,30059520.0,777.0,0,0,17,0.0,0.0,0.0,0.0,1
1453187087,4.0,9.0,1.99,2,2.0,183696384.0,31.0,0,1,4,0.0,0.0,0.0,0.0,0
794333202,4.5,561.0,0.0,5,25.0,70299648.0,180.0,1,0,4,0.0,0.0,0.0,0.0,1
665001825,4.5,5409.0,0.99,4,6.0,91312128.0,554.0,0,0,9,0.0,0.0,0.0,0.0,1
1079549690,4.5,10.0,0.0,4,1.0,87376896.0,1199.0,0,0,4,0.0,0.0,0.0,0.0,0
991055935,4.0,151.0,0.0,1,6.0,542453760.0,160.0,0,0,12,0.0,0.0,1.0,0.0,1
774848505,3.5,25.0,0.99,1,2.0,28222464.0,1319.0,0,0,4,0.0,0.0,0.0,0.0,0
1103600869,4.5,39.0,0.0,2,3.0,52982784.0,37.0,0,0,4,1.0,0.0,0.0,0.0,1
304878580,2.5,359.0,5.99,2,1.0,33982464.0,3584.0,0,0,4,0.0,0.0,0.0,0.0,0
1207867591,4.0,96.0,1.99,21,1.0,106986496.0,674.0,0,0,4,0.0,1.0,0.0,0.0,1
427480057,2.5,9.0,1.99,7,2.0,39432192.0,1175.0,0,0,4,0.0,0.0,0.0,1.0,1
313365393,3.0,866.0,0.0,1,2.0,10136576.0,2458.0,0,0,4,0.0,0.0,0.0,1.0,0
769683665,4.5,6.0,0.0,1,4.0,50515968.0,1704.0,0,0,4,1.0,0.0,0.0,0.0,0
1080245811,5.0,6.0,0.0,4,1.0,29384704.0,364.0,0,0,4,1.0,0.0,0.0,0.0,0
1442189626,1.5,6.0,0.0,1,1.0,347042816.0,0.0,0,0,12,0.0,1.0,0.0,0.0,1
