ID,Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases,age_range,size_range
1057125364,0,8.0,0.0,16.0,27750400.0,0.0,0,0,12,0.0,0.0,1.0,0.0,0,0,1
1144041654,0,3112.0,0.0,20.0,50366464.0,35.0,0,0,4,0.0,1.0,0.0,0.0,0,0,1
1128172173,1,395.0,0.0,25.0,75288576.0,827.0,0,0,4,1.0,0.0,0.0,0.0,1,0,2
1144894784,0,33.0,0.0,11.0,165439488.0,979.0,0,0,4,0.0,1.0,0.0,0.0,1,0,3
1449682676,1,28.0,0.0,1.0,330704896.0,66.0,0,0,12,0.0,0.0,0.0,0.0,1,0,7
1156109319,0,11.0,0.0,8.0,450664448.0,191.0,0,0,12,0.0,0.0,0.0,1.0,1,0,9
896086289,0,7.0,0.99,1.0,10871808.0,1105.0,0,1,4,1.0,0.0,0.0,0.0,0,0,0
1195035357,1,582.0,1.99,8.0,113381376.0,206.0,0,0,9,0.0,0.0,1.0,0.0,1,0,2
983515108,0,186.0,0.0,1.0,68674560.0,1088.0,0,0,4,0.0,0.0,0.0,0.0,1,0,1
1321575063,1,42.0,0.0,1.0,81206272.0,0.0,0,0,4,1.0,0.0,0.0,0.0,1,0,2
789200887,1,23.0,0.0,1.0,11464704.0,293.0,0,0,9,0.0,0.0,0.0,0.0,1,0,0
1367386970,0,697.0,0.99,6.0,164793344.0,358.0,0,1,9,0.0,1.0,0.0,0.0,1,0,3
558226878,0,13.0,0.0,1.0,22724608.0,2336.0,0,1,4,0.0,0.0,0.0,0.0,1,0,0
838193156,0,652.0,0.0,1.0,139537408.0,1665.0,0,0,4,0.0,1.0,0.0,0.0,1,0,3
845172245,0,64.0,0.0,1.0,334077952.0,896.0,0,0,12,0.0,0.0,1.0,0.0,1,0,7
1162344824,0,34.0,0.0,1.0,511702016.0,706.0,0,0,4,0.0,1.0,0.0,0.0,1,0,10
1094591345,0,439776.0,0.0,9.0,281521152.0,1121.0,0,0,9,0.0,0.0,0.0,0.0,1,0,6
479500274,0,31.0,0.0,6.0,258844672.0,2515.0,0,0,4,0.0,0.0,0.0,0.0,1,0,5
665694824,0,767.0,0.0,2.0,104969216.0,2187.0,0,0,4,0.0,0.0,0.0,1.0,1,0,2
1101195116,0,127.0,0.0,1.0,110665728.0,341.0,0,0,9,0.0,1.0,0.0,0.0,0,0,2
1441292916,1,20893.0,0.0,1.0,120740864.0,250.0,0,0,4,0.0,1.0,0.0,0.0,1,0,2
1010278212,1,11.0,0.0,3.0,107010048.0,1352.0,0,0,4,0.0,0.0,0.0,1.0,0,0,2
1409781798,1,2601.0,0.0,1.0,157598720.0,365.0,0,0,4,0.0,0.0,0.0,0.0,0,0,3
1050942619,0,17.0,0.0,32.0,16116736.0,1008.0,0,1,4,1.0,0.0,0.0,0.0,1,0,0
504245326,0,24.0,0.0,1.0,17637183.0,132.0,0,0,4,0.0,1.0,0.0,0.0,0,0,0
1149748443,0,39.0,0.0,2.0,31351808.0,381.0,0,0,12,0.0,0.0,0.0,0.0,0,0,1
922412324,1,336.0,0.0,25.0,68440064.0,217.0,0,0,4,0.0,0.0,0.0,0.0,1,0,1
1291037694,1,2052.0,0.0,2.0,103639040.0,454.0,0,0,12,0.0,1.0,0.0,0.0,1,0,2
595194427,1,5.0,1.99,1.0,35863552.0,2102.0,0,0,4,1.0,0.0,0.0,0.0,0,0,1
1024953824,0,3158.0,0.0,1.0,259408896.0,557.0,0,0,12,0.0,0.0,0.0,0.0,1,0,5
1405470636,0,99.0,0.0,1.0,1053304832.0,193.0,0,0,12,0.0,0.0,0.0,0.0,1,0,21
447946076,0,644.0,0.0,31.0,28184576.0,1112.0,0,0,12,1.0,0.0,0.0,0.0,1,0,1
1192606549,0,81.0,0.0,7.0,235592704.0,712.0,0,0,4,0.0,0.0,0.0,0.0,1,0,5
1122711408,0,9.0,0.99,1.0,65063936.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0,0,1
1097757301,0,1064.0,0.0,17.0,220160000.0,1135.0,0,0,9,0.0,0.0,0.0,0.0,1,0,4
1215027473,0,11.0,0.0,1.0,87701504.0,0.0,0,0,4,0.0,1.0,0.0,0.0,1,0,2
586088135,0,6.0,0.0,1.0,9261056.0,871.0,0,0,4,0.0,0.0,0.0,0.0,0,0,0
1455944801,1,94.0,0.0,1.0,173999104.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1,0,3
587726667,0,43.0,0.0,2.0,20399008.0,0.0,0,0,4,0.0,0.0,0.0,1.0,0,0,0
815044846,0,14.0,0.99,22.0,116626432.0,799.0,0,0,9,0.0,1.0,0.0,0.0,1,0,2
1341831522,0,44.0,3.99,1.0,312530944.0,147.0,0,0,4,1.0,0.0,0.0,0.0,0,0,6
328034857,0,5378.0,0.0,1.0,15120306.0,1208.0,0,0,12,0.0,0.0,1.0,0.0,1,0,0
1052694886,1,5.0,0.0,9.0,445190144.0,1210.0,0,0,4,0.0,1.0,0.0,0.0,1,0,9
1373542942,0,23.0,0.0,1.0,107793408.0,33.0,0,0,4,0.0,1.0,0.0,0.0,0,0,2
955682952,1,21892.0,0.0,1.0,70862848.0,1259.0,0,0,12,0.0,1.0,0.0,0.0,1,0,1
1238872542,0,25.0,0.0,1.0,106049536.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1,0,2
984981388,1,769.0,0.0,2.0,64000000.0,1349.0,0,1,4,1.0,0.0,0.0,0.0,1,0,1
1092860886,0,33.0,0.0,3.0,32509952.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0,0,1
787094904,0,155.0,0.0,2.0,17287168.0,1860.0,0,0,4,0.0,0.0,0.0,1.0,1,0,0
901945314,1,5.0,0.0,1.0,8965120.0,1189.0,0,0,4,0.0,0.0,0.0,0.0,0,0,0
1180831765,0,12.0,0.0,1.0,173316096.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0,0,3
955663906,0,7.0,0.0,1.0,12267520.0,1552.0,0,0,4,0.0,0.0,0.0,0.0,1,0,0
329707508,0,694.0,0.0,1.0,7587880.0,905.0,0,0,12,0.0,0.0,0.0,0.0,0,0,0
334436243,0,7.0,0.0,1.0,9431040.0,3293.0,0,0,4,0.0,0.0,0.0,1.0,0,0,0
844678885,0,6.0,0.0,2.0,6614016.0,1249.0,0,0,4,1.0,0.0,0.0,0.0,1,0,0
1086372156,0,170.0,0.0,1.0,28418048.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0,0,1
895461170,1,103.0,0.0,1.0,30748672.0,27.0,0,0,9,1.0,0.0,0.0,0.0,1,0,1
453444900,0,39.0,0.0,1.0,13319153.0,289.0,0,0,4,1.0,0.0,0.0,0.0,1,0,0
1242786488,0,5.0,0.99,6.0,330313728.0,425.0,0,0,9,0.0,0.0,0.0,0.0,1,0,7
796940255,0,5.0,0.0,1.0,18079744.0,0.0,0,0,4,0.0,0.0,0.0,1.0,1,0,0
1455294906,1,8.0,0.0,1.0,146486272.0,0.0,0,1,12,0.0,0.0,0.0,0.0,0,0,3
1331343244,1,43.0,0.0,2.0,70109184.0,229.0,0,0,12,0.0,0.0,0.0,0.0,1,0,1
